domain;key;group;value
CLAIM_TYPE;HABITATION;ANY;habitation
CLAIM_TYPE;HABITATION;ANY;maison
CLAIM_TYPE;HABITATION;ANY;logement
CLAIM_TYPE;HABITATION;ANY;degat des eaux
CLAIM_TYPE;HABITATION;ANY;incendie
CLAIM_TYPE;HABITATION;ANY;vol maison
CLAIM_TYPE;HABITATION;ANY;cambriolage

CLAIM_TYPE;VOYAGE;ANY;voyage
CLAIM_TYPE;VOYAGE;ANY;bagage
CLAIM_TYPE;VOYAGE;ANY;annulation voyage

CLAIM_TYPE;VIE;ANY;vie
CLAIM_TYPE;VIE;ANY;deces
CLAIM_TYPE;VIE;ANY;invalidite

STATUS;APPROVED;ANY;approuve
STATUS;APPROVED;ANY;approuvee
STATUS;APPROVED;ANY;accepte
STATUS;APPROVED;ANY;acceptee
STATUS;APPROVED;ANY;valide
STATUS;APPROVED;ANY;validee

STATUS;REJECTED;ANY;rejete
STATUS;REJECTED;ANY;rejetee
STATUS;REJECTED;ANY;refuse
STATUS;REJECTED;ANY;refusee

STATUS;PENDING_VALIDATION;ANY;attente
STATUS;PENDING_VALIDATION;ANY;pending
STATUS;PENDING_VALIDATION;ANY;validation humaine
STATUS;PENDING_VALIDATION;ANY;en validation

STATUS;IN_ANALYSIS;ANY;analyse
STATUS;IN_ANALYSIS;ANY;en analyse
STATUS;IN_ANALYSIS;ANY;traitement ia

STATUS;CLOSED;ANY;ferme
STATUS;CLOSED;ANY;fermee
STATUS;CLOSED;ANY;cloture
STATUS;CLOSED;ANY;cloturee

MESSAGE;CLAIM_DECLARED_PROCESSING;VALUE;Votre sinistre a été déclaré avec succès.\n\n- Numéro dossier : #%s\n- Statut initial : %s\n\nVotre dossier est maintenant en cours d’analyse IA. Les résultats des agents seront affichés automatiquement dans cette conversation.
MESSAGE;AGENT_RESULTS_PENDING;VALUE;Analyse IA en cours. Les agents Routeur, Validateur et Estimateur traitent encore votre dossier.
MESSAGE;AGENT_RESULTS_READY;VALUE;Voici les résultats de l’analyse IA de votre dossier.
